"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"174","warborn.controller","src/warborn/controller/HudController.java","3","13","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"175","warborn.controller","src/warborn/controller/HudController.java","3","13","Private field 'model' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"176","warborn.controller","src/warborn/controller/HudController.java","3","14","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"177","warborn.controller","src/warborn/controller/HudController.java","3","14","Private field 'view' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"178","warborn.controller","src/warborn/controller/HudController.java","3","16","Parameter 'model' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"179","warborn.controller","src/warborn/controller/HudController.java","3","16","Parameter 'view' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"180","warborn.controller","src/warborn/controller/HudController.java","3","27","Avoid variables with short names like e","Naming Rules","ShortVariable"
"181","warborn.controller","src/warborn/controller/HudController.java","3","27","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"182","warborn.controller","src/warborn/controller/HudController.java","3","35","Local variable 'spellbookView' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"183","warborn.controller","src/warborn/controller/HudController.java","3","42","Document empty method","Design Rules","UncommentedEmptyMethod"
"184","warborn.controller","src/warborn/controller/HudController.java","3","42","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"185","warborn.controller","src/warborn/controller/HudController.java","3","47","Document empty method","Design Rules","UncommentedEmptyMethod"
"186","warborn.controller","src/warborn/controller/HudController.java","3","47","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"187","warborn.controller","src/warborn/controller/HudController.java","2","53","System.out.print is used","Java Logging Rules","SystemPrintln"
"188","warborn.controller","src/warborn/controller/MapController.java","3","13","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"189","warborn.controller","src/warborn/controller/MapController.java","3","13","Private field 'model' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"190","warborn.controller","src/warborn/controller/MapController.java","3","16","Parameter 'map' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"191","warborn.controller","src/warborn/controller/MapController.java","3","16","Parameter 'model' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"192","warborn.controller","src/warborn/controller/MapController.java","3","19","Local variable 'buttons' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"193","warborn.controller","src/warborn/controller/MapController.java","3","27","Avoid variables with short names like e","Naming Rules","ShortVariable"
"194","warborn.controller","src/warborn/controller/MapController.java","3","27","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"195","warborn.controller","src/warborn/controller/MapController.java","3","28","Do not add empty strings","Optimization Rules","AddEmptyString"
"196","warborn.controller","src/warborn/controller/MenuController.java","3","15","The class 'MenuController' has a Cyclomatic Complexity of 6 (Highest = 13).","Code Size Rules","CyclomaticComplexity"
"197","warborn.controller","src/warborn/controller/MenuController.java","3","17","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"198","warborn.controller","src/warborn/controller/MenuController.java","3","17","Private field 'model' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"199","warborn.controller","src/warborn/controller/MenuController.java","3","18","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"200","warborn.controller","src/warborn/controller/MenuController.java","3","18","Private field 'view' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"201","warborn.controller","src/warborn/controller/MenuController.java","3","20","Parameter 'model' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"202","warborn.controller","src/warborn/controller/MenuController.java","3","20","Parameter 'view' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"203","warborn.controller","src/warborn/controller/MenuController.java","3","23","Local variable 'buttonArray' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"204","warborn.controller","src/warborn/controller/MenuController.java","3","27","Local variable 'buttonArray2' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"205","warborn.controller","src/warborn/controller/MenuController.java","3","36","Parameter 'evt' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"206","warborn.controller","src/warborn/controller/MenuController.java","3","36","The method 'actionPerformed' has a Cyclomatic Complexity of 13.","Code Size Rules","CyclomaticComplexity"
"207","warborn.controller","src/warborn/controller/MenuController.java","3","37","Local variable 'buttonPressed' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"208","warborn.controller","src/warborn/controller/MenuController.java","3","42","Avoid empty if statements","Basic Rules","EmptyIfStmt"
"209","warborn.controller","src/warborn/controller/MenuController.java","3","46","System.exit() should not be used in J2EE/JEE apps","J2EE Rules","DoNotCallSystemExit"
"210","warborn.controller","src/warborn/controller/MenuController.java","3","67","Local variable 'names' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"211","warborn.controller","src/warborn/controller/MenuController.java","3","68","Local variable 'colors' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"212","warborn.controller","src/warborn/controller/MenuController.java","3","85","Parameter 'iEvt' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"213","warborn.controller","src/warborn/controller/MoveController.java","3","11","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"214","warborn.controller","src/warborn/controller/MoveController.java","3","11","Private field 'model' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"215","warborn.controller","src/warborn/controller/MoveController.java","3","12","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"216","warborn.controller","src/warborn/controller/MoveController.java","3","12","Private field 'view' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"217","warborn.controller","src/warborn/controller/MoveController.java","3","14","Parameter 'model' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"218","warborn.controller","src/warborn/controller/MoveController.java","3","14","Parameter 'view' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"219","warborn.controller","src/warborn/controller/MoveController.java","3","24","Avoid variables with short names like e","Naming Rules","ShortVariable"
"220","warborn.controller","src/warborn/controller/MoveController.java","3","24","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"221","warborn.controller","src/warborn/controller/MoveController.java","3","43","Avoid variables with short names like e","Naming Rules","ShortVariable"
"222","warborn.controller","src/warborn/controller/MoveController.java","3","43","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"223","warborn.controller","src/warborn/controller/MoveController.java","3","44","Do not add empty strings","Optimization Rules","AddEmptyString"
"224","warborn.controller","src/warborn/controller/MoveController.java","3","45","Do not add empty strings","Optimization Rules","AddEmptyString"
"225","warborn.controller","src/warborn/controller/OptionsMenuController.java","3","14","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"226","warborn.controller","src/warborn/controller/OptionsMenuController.java","3","14","Private field 'view' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"227","warborn.controller","src/warborn/controller/OptionsMenuController.java","3","15","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"228","warborn.controller","src/warborn/controller/OptionsMenuController.java","3","15","Private field 'launcher' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"229","warborn.controller","src/warborn/controller/OptionsMenuController.java","3","16","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"230","warborn.controller","src/warborn/controller/OptionsMenuController.java","3","16","Private field 'mainFrame' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"231","warborn.controller","src/warborn/controller/OptionsMenuController.java","3","18","Parameter 'launcher' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"232","warborn.controller","src/warborn/controller/OptionsMenuController.java","3","18","Parameter 'mainFrame' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"233","warborn.controller","src/warborn/controller/OptionsMenuController.java","3","18","Parameter 'view' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"234","warborn.controller","src/warborn/controller/OptionsMenuController.java","3","28","Avoid variables with short names like e","Naming Rules","ShortVariable"
"235","warborn.controller","src/warborn/controller/OptionsMenuController.java","3","28","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"236","warborn.controller","src/warborn/controller/OptionsMenuController.java","3","29","Local variable 'buttonPressed' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"237","warborn.controller","src/warborn/controller/OptionsMenuController.java","3","37","System.exit() should not be used in J2EE/JEE apps","J2EE Rules","DoNotCallSystemExit"
"238","warborn.controller","src/warborn/controller/SpellbookController.java","3","3","Each class should declare at least one constructor","Controversial Rules","AtLeastOneConstructor"
"239","warborn.main","src/warborn/main/EndGameController.java","3","10","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"240","warborn.main","src/warborn/main/EndGameController.java","3","10","Private field 'view' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"241","warborn.main","src/warborn/main/EndGameController.java","3","11","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"242","warborn.main","src/warborn/main/EndGameController.java","3","11","Private field 'launcher' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"243","warborn.main","src/warborn/main/EndGameController.java","3","13","Parameter 'launcher' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"244","warborn.main","src/warborn/main/EndGameController.java","3","13","Parameter 'view' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"245","warborn.main","src/warborn/main/EndGameController.java","3","17","Local variable 'buttonArray' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"246","warborn.main","src/warborn/main/EndGameController.java","3","23","Parameter 'evt' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"247","warborn.main","src/warborn/main/EndGameController.java","3","30","System.exit() should not be used in J2EE/JEE apps","J2EE Rules","DoNotCallSystemExit"
"248","warborn.main","src/warborn/main/EndGameView.java","3","16","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"249","warborn.main","src/warborn/main/EndGameView.java","3","17","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"250","warborn.main","src/warborn/main/EndGameView.java","3","17","Private field 'model' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"251","warborn.main","src/warborn/main/EndGameView.java","3","18","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"252","warborn.main","src/warborn/main/EndGameView.java","3","18","Private field 'lbTime' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"253","warborn.main","src/warborn/main/EndGameView.java","3","19","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"254","warborn.main","src/warborn/main/EndGameView.java","3","19","Private field 'frame' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"255","warborn.main","src/warborn/main/EndGameView.java","3","20","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"256","warborn.main","src/warborn/main/EndGameView.java","3","20","Private field 'btExit' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"257","warborn.main","src/warborn/main/EndGameView.java","3","20","Private field 'btRestart' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"258","warborn.main","src/warborn/main/EndGameView.java","3","22","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"259","warborn.main","src/warborn/main/EndGameView.java","3","22","Parameter 'model' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"260","warborn.main","src/warborn/main/EndGameView.java","3","22","Parameter 'startTime' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"261","warborn.main","src/warborn/main/EndGameView.java","3","39","Local variable 'lbHead' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"262","warborn.main","src/warborn/main/EndGameView.java","3","75","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"263","warborn.main","src/warborn/main/EndGameView.java","3","75","Parameter 'arg1' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"264","warborn.main","src/warborn/main/EndGameView.java","3","75","The method update() has an NPath complexity of 1125","Code Size Rules","NPathComplexity"
"265","warborn.main","src/warborn/main/EndGameView.java","3","77","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"266","warborn.main","src/warborn/main/EndGameView.java","5","79","Found 'DU'-anomaly for variable 'owner' (lines '79'-'96').","Controversial Rules","DataflowAnomalyAnalysis"
"267","warborn.main","src/warborn/main/EndGameView.java","3","79","Local variable 'owner' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"268","warborn.main","src/warborn/main/EndGameView.java","3","85","Local variable 'stopTime' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"269","warborn.main","src/warborn/main/EndGameView.java","3","86","Local variable 'runTime' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"270","warborn.main","src/warborn/main/EndGameView.java","3","90","Local variable 'hours' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"271","warborn.main","src/warborn/main/EndGameView.java","3","93","Do not add empty strings","Optimization Rules","AddEmptyString"
"272","warborn.main","src/warborn/main/EndGameView.java","3","93","Do not add empty strings","Optimization Rules","AddEmptyString"
"273","warborn.main","src/warborn/main/EndGameView.java","3","93","Do not add empty strings","Optimization Rules","AddEmptyString"
"274","warborn.main","src/warborn/main/KeyAction.java","3","13","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"275","warborn.main","src/warborn/main/KeyAction.java","3","13","Private field 'model' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"276","warborn.main","src/warborn/main/KeyAction.java","3","14","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"277","warborn.main","src/warborn/main/KeyAction.java","3","14","Private field 'launcher' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"278","warborn.main","src/warborn/main/KeyAction.java","3","15","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"279","warborn.main","src/warborn/main/KeyAction.java","3","17","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"280","warborn.main","src/warborn/main/KeyAction.java","3","17","Parameter 'launcher' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"281","warborn.main","src/warborn/main/KeyAction.java","3","17","Parameter 'model' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"282","warborn.main","src/warborn/main/KeyAction.java","3","23","Parameter 'evt' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"283","warborn.main","src/warborn/main/KeyAction.java","3","26","Local variable 'view' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"284","warborn.main","src/warborn/main/KeyAction.java","3","35","Parameter 'main' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"285","warborn.main","src/warborn/main/Launcher.java","4","11","Avoid unused imports such as 'warborn.controller'","Type Resolution Rules","UnusedImports"
"286","warborn.main","src/warborn/main/Launcher.java","4","15","Avoid unused imports such as 'warborn.view'","Type Resolution Rules","UnusedImports"
"287","warborn.main","src/warborn/main/Launcher.java","3","19","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"288","warborn.main","src/warborn/main/Launcher.java","3","20","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"289","warborn.main","src/warborn/main/Launcher.java","3","21","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"290","warborn.main","src/warborn/main/Launcher.java","3","21","Private field 'keyAction' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"291","warborn.main","src/warborn/main/Launcher.java","3","26","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"292","warborn.main","src/warborn/main/Launcher.java","3","28","Avoid variables with short names like l","Naming Rules","ShortVariable"
"293","warborn.main","src/warborn/main/Launcher.java","3","28","Local variable 'l' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"294","warborn.main","src/warborn/main/Launcher.java","3","52","Avoid variables with short names like c","Naming Rules","ShortVariable"
"295","warborn.main","src/warborn/main/Launcher.java","3","52","Local variable 'c' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"296","warborn.main","src/warborn/main/Launcher.java","3","59","Local variable 'view' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"297","warborn.main","src/warborn/main/Launcher.java","3","68","Local variable 'move' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"298","warborn.main","src/warborn/main/Launcher.java","3","70","Local variable 'battle' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"299","warborn.main","src/warborn/main/Launcher.java","3","81","Parameter 'mapIndex' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"300","warborn.main","src/warborn/main/Launcher.java","3","88","Avoid variables with short names like c","Naming Rules","ShortVariable"
"301","warborn.main","src/warborn/main/Launcher.java","3","100","The String literal 'options' appears 5 times in this file; the first occurrence is on line 100","String and StringBuffer Rules","AvoidDuplicateLiterals"
"302","warborn.main","src/warborn/main/Launcher.java","3","118","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"303","warborn.main","src/warborn/main/Launcher.java","3","118","Parameter 'arg1' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"304","warborn.main","src/warborn/main/Launcher.java","3","127","Assigning an Object to null is a code smell.  Consider refactoring.","Controversial Rules","NullAssignment"
"305","warborn.main","src/warborn/main/Launcher.java","2","128","Do not explicitly trigger a garbage collection.","Controversial Rules","DoNotCallGarbageCollectionExplicitly"
"306","warborn.main","src/warborn/main/MainFrame.java","3","21","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"307","warborn.main","src/warborn/main/MainFrame.java","3","21","Parameter 'model' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"308","warborn.main","src/warborn/main/MainFrame.java","3","32","Parameter 'arg1' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"309","warborn.main","src/warborn/main/MainFrame.java","3","32","Parameter 'obs' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"310","warborn.map","src/warborn/map/GothenburgMapView.java","3","15","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"311","warborn.map","src/warborn/map/GothenburgMapView.java","3","15","Private field 'model' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"312","warborn.map","src/warborn/map/GothenburgMapView.java","3","16","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"313","warborn.map","src/warborn/map/GothenburgMapView.java","3","16","Private field 'buttons' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"314","warborn.map","src/warborn/map/GothenburgMapView.java","3","17","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"315","warborn.map","src/warborn/map/GothenburgMapView.java","3","17","Perhaps 'scalingConstants' could be replaced by a local variable.","Design Rules","SingularField"
"316","warborn.map","src/warborn/map/GothenburgMapView.java","3","17","Private field 'scalingConstants' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"317","warborn.map","src/warborn/map/GothenburgMapView.java","3","21","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"318","warborn.map","src/warborn/map/GothenburgMapView.java","3","21","Parameter 'model' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"319","warborn.map","src/warborn/map/GothenburgMapView.java","3","30","Local variable 'maplbl' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"320","warborn.map","src/warborn/map/GothenburgMapView.java","3","35","Avoid variables with short names like I","Naming Rules","ShortVariable"
"321","warborn.map","src/warborn/map/GothenburgMapView.java","3","41","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"322","warborn.map","src/warborn/map/GothenburgMapView.java","3","42","Do not add empty strings","Optimization Rules","AddEmptyString"
"323","warborn.map","src/warborn/map/GothenburgMapView.java","3","43","Do not add empty strings","Optimization Rules","AddEmptyString"
"324","warborn.map","src/warborn/map/GothenburgMapView.java","3","69","Returning 'buttons' may expose an internal array.","Security Code Guidelines","MethodReturnsInternalArray"
"325","warborn.map","src/warborn/map/GothenburgMapView.java","3","82","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"326","warborn.map","src/warborn/map/GothenburgMapView.java","3","82","Parameter 'arg1' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"327","warborn.map","src/warborn/map/GothenburgMapView.java","3","87","Do not add empty strings","Optimization Rules","AddEmptyString"
"328","warborn.map","src/warborn/map/GothenburgMapView.java","3","95","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"329","warborn.model","src/warborn/model/Battle.java","3","8","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"330","warborn.model","src/warborn/model/Battle.java","3","8","Private field 'model' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"331","warborn.model","src/warborn/model/Battle.java","3","9","Avoid variables with short names like a","Naming Rules","ShortVariable"
"332","warborn.model","src/warborn/model/Battle.java","3","9","Avoid variables with short names like d","Naming Rules","ShortVariable"
"333","warborn.model","src/warborn/model/Battle.java","3","9","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"334","warborn.model","src/warborn/model/Battle.java","3","9","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"335","warborn.model","src/warborn/model/Battle.java","3","9","Perhaps 'a' could be replaced by a local variable.","Design Rules","SingularField"
"336","warborn.model","src/warborn/model/Battle.java","3","10","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"337","warborn.model","src/warborn/model/Battle.java","3","10","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"338","warborn.model","src/warborn/model/Battle.java","3","10","Perhaps 'unitsAttacker' could be replaced by a local variable.","Design Rules","SingularField"
"339","warborn.model","src/warborn/model/Battle.java","3","11","It is somewhat confusing to have a field name with the same name as a method","Naming Rules","AvoidFieldNameMatchingMethodName"
"340","warborn.model","src/warborn/model/Battle.java","3","13","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"341","warborn.model","src/warborn/model/Battle.java","3","13","Parameter 'model' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"342","warborn.model","src/warborn/model/Battle.java","5","17","Found 'DD'-anomaly for variable 'aLost' (lines '17'-'42').","Controversial Rules","DataflowAnomalyAnalysis"
"343","warborn.model","src/warborn/model/Battle.java","5","17","Found 'DD'-anomaly for variable 'aLost' (lines '17'-'50').","Controversial Rules","DataflowAnomalyAnalysis"
"344","warborn.model","src/warborn/model/Battle.java","5","18","Found 'DD'-anomaly for variable 'dLost' (lines '18'-'46').","Controversial Rules","DataflowAnomalyAnalysis"
"345","warborn.model","src/warborn/model/Battle.java","5","18","Found 'DD'-anomaly for variable 'dLost' (lines '18'-'54').","Controversial Rules","DataflowAnomalyAnalysis"
"346","warborn.model","src/warborn/model/Battle.java","3","33","Avoid variables with short names like i","Naming Rules","ShortVariable"
"347","warborn.model","src/warborn/model/Battle.java","2","37","System.out.print is used","Java Logging Rules","SystemPrintln"
"348","warborn.model","src/warborn/model/Battle.java","5","42","Found 'DD'-anomaly for variable 'aLost' (lines '42'-'50').","Controversial Rules","DataflowAnomalyAnalysis"
"349","warborn.model","src/warborn/model/Battle.java","5","46","Found 'DD'-anomaly for variable 'dLost' (lines '46'-'54').","Controversial Rules","DataflowAnomalyAnalysis"
"350","warborn.model","src/warborn/model/Battle.java","3","57","Local variable 'losses' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"351","warborn.model","src/warborn/model/Battle.java","3","58","Consider simply returning the value vs storing it in local variable 'losses'","Design Rules","UnnecessaryLocalBeforeReturn"
"352","warborn.model","src/warborn/model/BattleTest.java","4","3","Avoid unused imports such as 'org.junit.Assert'","Type Resolution Rules","UnusedImports"
"353","warborn.model","src/warborn/model/BattleTest.java","3","11","Local variable 'model' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"354","warborn.model","src/warborn/model/BattleTest.java","3","12","Avoid variables with short names like t1","Naming Rules","ShortVariable"
"355","warborn.model","src/warborn/model/BattleTest.java","3","12","Local variable 't1' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"356","warborn.model","src/warborn/model/BattleTest.java","3","13","Avoid variables with short names like t2","Naming Rules","ShortVariable"
"357","warborn.model","src/warborn/model/BattleTest.java","3","13","Local variable 't2' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"358","warborn.model","src/warborn/model/BattleTest.java","3","14","Avoid variables with short names like t3","Naming Rules","ShortVariable"
"359","warborn.model","src/warborn/model/BattleTest.java","3","14","Local variable 't3' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"360","warborn.model","src/warborn/model/BattleTest.java","3","18","Local variable 'battle' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"361","warborn.model","src/warborn/model/BattleTest.java","3","24","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"362","warborn.model","src/warborn/model/BattleTest.java","2","26","System.out.print is used","Java Logging Rules","SystemPrintln"
"363","warborn.model","src/warborn/model/BattleTest.java","3","31","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"364","warborn.model","src/warborn/model/BattleTest.java","2","32","System.out.print is used","Java Logging Rules","SystemPrintln"
"365","warborn.model","src/warborn/model/Card.java","3","7","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"366","warborn.model","src/warborn/model/Card.java","3","7","Private field 'image' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"367","warborn.model","src/warborn/model/Card.java","3","8","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
